Bloco;Bairro;Data;Desfile;Local da Concentraçao;Percurso;Público Estimado
É Pequeno mas não amolece;Recreio dos Bandeirantes;20/01/2018;16:00;Praça Professor Henrique Niremberg;Parado;500
É Pequeno mas não amolece;Recreio dos Bandeirantes;27/01/2018;16:00;Praça Professor Henrique Niremberg;Parado;500
É Pequeno mas não amolece;Recreio dos Bandeirantes;03/02/2018;16:00;Praça Professor Henrique Niremberg;Parado;500
É Pequeno, mas vai Crescer;Centro;02/02/2018;19:00;Rua Alexandre Mackenzie,  esquina com Rua Senador Pompeu;Parado;400
Eco Bloco do Rio;Lapa;09/02/2018;18:00;Largo de São Francisco  (Tiradentes);Parado;3000
Embaixadores da Folia;Centro;09/02/2018;20:00;Buraco do Lume;Parado;8000
Embalo da Barão;Praça Seca;03/02/2018;14:00;Rua Barão 403;Parado;500
Empolga às 9;Ipanema;04/02/2018;16:00;Em Frente a Rua Joana Angélica;Parado;2500
Engata no Centro;Lapa;12/02/2018;17:00;Rua Ubaldino do Amaral entre Rua Carlos de Carvalho e Rua do Senado;Parado;500
Enxota que Eu Vou;Centro;13/02/2018;18:00;Praça Tiradentes;Parado;500
Estica do Flamengo;Flamengo;10/02/2018;18:00;Praça Sandro Moreira;Parado;1700
Eu Amo a Lapa;Lapa;03/02/2018;17:00;Praça Cardeal Câmara (Arcos da Lapa);Parado;1000
Eu Amo Cerveja;Lapa;17/02/2018;13:00;Praça Cardeal Câmara (Arcos da Lapa);Parado;1000
Eu Sou Eu, Jacaré é Bicho D’ Água;Vila isabel;09/02/2018;17:00;Esquina de Visc. Abaeté com Torres Homem;Parado;900
Fla Master;Barra da Tijuca;03/02/2018;14:00;AV. LUCIO COSTA EM FRENTE AO 3604 - CALÇADÃO;Parado;1000
Fogo e Paixão;Centro;04/02/2018;10:00;Largo de São Francisco;Parado;10000
Foliões da Prainha;Saúde;04/02/2018;10:00;Largo São Francisco da Prainha;Parado;500
Galo da Santa Clara;Copacabana;10/02/2018;17:00;Rua Henrique Oswald 431;Parado;1500
Gambá Cheiroso;Jacarepaguá;13/02/2018;17:00;Rua Bruno Giorgi s/n - Anfiteatro;Parado;1000
Guri da Merck;Taquara;14/02/2018;19:00;Praça Albert Sabin (Praça da Merck);Parado;1000
Já Comi Pior Pagando;Tijuca;03/02/2018;16:00;Rua Leite de Abreu;Parado;1000
Larga a Onça, Alfredo! - Ensaio;Laranjeiras;20/01/2018;18:00;Praça São Salvador;Parado;2000
Lexa – Vem Que To Querendo;Bangu;03/02/2018;15:00;Praça da Fé;Parado;2000
Malandragem do Porto;Santo Cristo;04/02/2018;16:00;Rua Nabuco de Freitas com Marques de Sapucaí;Parado;300
Maravilhas do Porto;Saúde;10/02/2018;11:00;Largo São Francisco da Prainha;Parado;400
Marcha Nerd;Tijuca;11/02/2018;15:00;Praça Xavier de Brito;Parado;900
Maresia;Botafogo;11/02/2018;11:00;Enseada de Botafogo;Parado;200
Me Engana Que Eu Gosto;Botafogo;03/02/2018;16:00;Praça Jóia Valansi;Parado;1000
Mini Bloco;Tijuca;03/02/2018;09:00;Praça Xavier de Brito;Parado;900
Morde e Pica Toda Hora;Jacarepaguá;03/02/2018;15:00;Rua Jorge Faraj;Parado;200
Morde e Pica Toda Hora;Jacarepaguá;04/02/2018;15:00;Rua Jorge Faraj;Parado;200
Mulheres de Chico;Leme;17/02/2018;15:00;Praia do Leme, próximo ao Costão;Parado;50000
MultiBloco (Ensaio);Lapa;28/01/2018;16:00;Rua dos Inválidos;Parado;250
New Kids On The Bloco;São Conrado;10/02/2018;08:00;São Conrado, Em frente ao Golfe Clube, parado;Parado;5000
Ninho dos Cobras;Centro;02/02/2018;19:30;Largo São Francisco da Prainha;Parado;800
Nós 4 Na Pista;Ilha do Governador;10/02/2018;15:00;Praia da Engenhoca (Final);Parado;500
Olha Pá Mim;Tijuca;10/02/2018;16:00;Praça Afonso Pena;Parado;500
Onda Carioca;Recreio dos Bandeirantes;04/02/2018;11:00;Praça Dr. Eurico Alencastro Massot;Parado;700
Os Filhos da P!;Lagoa;14/02/2018;15:00;Parque das Figueiras;Parado;5000
Parei de Beber, Não de Mentir!;Curicica;03/02/2018;15:00;Praça do Bandolim;Parado;3000
Pega Rex Social Clube;Ipanema;12/02/2018;17:00;Praça Nossa Senhora da Paz;Parado;600
Pérola da Guanabara;Ilha de Paquetá;03/02/2018;14:00;Praça São Roque;Parado;10000
Picada de Primeira;Lapa;12/02/2018;18:00;Rua dos Arcos 24;Parado;3000
Pipoca e Guanará;Tijuca;04/02/2018;17:00;Praça Xavier de Brito;Parado;500
Plantão Bom é Sambaia;Vila isabel;03/02/2018;13:00;Praça Maracanã (em frente a UERJ);Parado;100
Põe na Quentinha?;Centro;20/01/2018;14:00;Rua Conselheiro Saraiva, em frente ao nº 39;Parado;1500
Põe na Quentinha?;Centro;03/02/2018;14:00;Rua Conselheiro Saraiva, em frente ao nº 39;Parado;1500
Pra Se Apaixonar;Quintino Bocaiúva;28/01/2018;19:00;Rua Vital, esquina com Rua Nogueira;Parado;4000
Quem Num Guenta Bebe Água;Laranjeiras;04/02/2018;14:00;Rua Gago Coutinho 37;Parado;4000
Quer Swingar Vem Pra Cá;Vila isabel;11/02/2018;11:00;Praça Barão de Drumond;Parado;1000
Rebarbas;Botafogo;10/02/2018;15:00;Praça Mauro Duarte;Parado;2500
Regula Mas Libera;Centro;07/02/2018;18:00;Rua Teofilo Otoni;Parado;500
Rio Pandeiro;Laranjeiras;03/02/2018;13:00;Praça São Salvador;Parado;600
Sargento Pimenta;Aterro do Flamengo;12/02/2018;10:00;Aterro do Flamengo, entre o Mam e a Marina da Glória;Parado;60000
Se Concentra mas Não Sai e Caldeirão;Campo Grande;27/01/2018;16:00;Rua Ministro Carlos Medeiros;Parado;500
Se Deixar Eu Boto;Pavuna;27/01/2018;20:00;Rua Sargento Manoel Chagas com Rua Capitão Gouveia;Parado;1200
Se Deixar Eu Boto;Pavuna;03/02/2018;20:00;Rua Sargento Manoel Chagas com Rua Capitão Gouveia;Parado;1200
Se Essa Rua Fosse Minha;Flamengo;17/02/2018;12:00;Praça Sandro Moreira;Parado;1500
Seu Kuka é Eu do Grajaú;Grajaú;13/01/2018;16:00;Largo Maria Martha Ward;Parado;1200
Seu Kuka é Eu do Grajaú;Grajaú;20/01/2018;16:00;Largo Maria Martha Ward;Parado;1200
Seu Kuka é Eu do Grajaú;Grajaú;27/01/2018;16:00;Largo Maria Martha Ward;Parado;1200
Seu Kuka é Eu do Grajaú;Grajaú;03/02/2018;16:00;Largo Maria Martha Ward;Parado;1200
Só o Cume Interessa;Urca;03/02/2018;13:00;Praça General Tibúrcio;Parado;300
Sou Cheio de Amor;Copacabana;12/02/2018;13:00;Av. Atlantica 2964;Parado;1000
Sufridos de Copacabana;Copacabana;17/02/2018;16:00;Praça Manuel Campos da Paz (Rua Iangá);Parado;400
Superbacana;Tijuca;17/02/2018;16:00;Praça Afonso Pena;Parado;600
Tamo Junto in Folia;Padre Miguel;04/02/2018;18:00;Rua Marechal Marciano, esquina com Santana de Ipanema (Praça das Juras);Parado;60000
Tamo Junto in Folia;Padre Miguel;18/02/2018;18:00;Rua Figueiredo Camargo com Rua Irerê;Parado;60000
Te Vejo Por Dentro... Sou da Radiologia;Lapa;09/02/2018;19:00;Rua Joaquim Silva 15;Parado;1000
Thriller Elétrico;Vila isabel;11/02/2018;10:00;Praça Barão de Drummond;Parado;3000
Timoneiros da Viola;Oswaldo Cruz;04/02/2018;14:00;Praça Paulo da Portela;Parado;50000
Toca Rauuul!;Centro;11/02/2018;16:00;Praça Tiradentes;Parado;1000
Toco-Xona;Flamengo;11/02/2018;12:00;Praia do Flamengo 340 (campo de terra);Parado;2000
Tudo Nosso Tamo Junto;Copacabana;28/01/2018;13:00;Rua Ronald de Carvalho 161;Parado;300
Tudubloco;Madureira;13/02/2018;11:00;Parque Madureira;Parado;10000
Turbilhão Carioca;Lagoa;12/02/2018;12:00;Parque dos Patins;Parado;1000
Último Gole;Lagoa;13/02/2018;16:00;Parque dos Patins;Parado;3000
Vaca Atolada dos Embaixadores da Folia;Lapa;17/02/2018;17:00;Av. Gomes Freire, em frente ao nº 533;Parado;800
Vai Tomar no Azul;Engenho de Dentro;11/02/2018;15:00;Rua Pernambuco 874;Parado;500
Vem Mamar;Jacarepaguá;03/02/2018;16:00;Largo da Capela;Parado;300
Vestiu uma Camisinha Listrada e Saiu por Aí;Centro;26/01/2018;19:00;Buraco do Lume;Parado;2000
Xodó da Piedade;Piedade;07/01/2018;18:00;Rua Mario Carpenter, Esquina com Angelina;Parado;1500
Xodó da Piedade;Piedade;14/01/2018;17:00;Rua Mario Carpenter, Esquina com Angelina;Parado;1500
Xodó da Piedade;Piedade;21/01/2018;17:00;Rua Mario Carpenter, Esquina com Angelina;Parado;1500
Xodó da Piedade;Piedade;28/01/2018;17:00;Rua Mario Carpenter, Esquina com Angelina;Parado;1500
Xodó da Piedade;Piedade;04/02/2018;17:00;Rua Mario Carpenter, Esquina com Angelina;Parado;1500
Aquilah;Madureira;03/02/2018;16:30;Parque de Madureira portão 03;Parque de Madureira portão 03, saindo pela pista até o portão 02 e retornando pelo mesmo local;450
Giro do Arar;Madureira;18/02/2018;11:00;Parque Madureira;Parque Madureira;10000
Amigos da Onça;Flamengo;14/02/2018;07:00;Praia do Flamengo;Pista interna da Praia do Flamengo;20000
Banda do Recreio;Recreio dos Bandeirantes;11/02/2018;14:00;Posto 10;Posto 10 do Recreio ao Posto 9.;3000
Bloco D' Samba;Recreio dos Bandeirantes;03/02/2018;12:00;Posto 10 do Recreio;Posto 10 do Recreio ao Posto 9.;3000
Seu Veneno Me Alimenta;Recreio dos Bandeirantes;18/02/2018;14:00;Posto 10 do Recreio;Posto 10 do Recreio ao Posto 9.;5000
Toco Crú Pegando Fogo;Recreio dos Bandeirantes;04/02/2018;14:00;Posto 10 do Recreio;Posto 10 do Recreio ao Posto 9.;10000
Batucada Abençoada;Copacabana;12/02/2018;10:00;Concentração em Frente ao Forte de Copacabana;Posto 6 ao posto 5;3000
Bloco da Urubuzada;Tijuca;03/02/2018;15:00;Praça Afonso Pena;"Praça Afonso Pena, Rua Campos Sales, Rua Mariz e Barros, R. Afonso Pena terminando na Praça novamente.";1000
Banda da Praça Afonso Pena;Tijuca;04/02/2018;17:00;Praça Afonso Pena;Praça Afonso Pena, Rua Professor Satamini, Rua São Francisco Xavier, Largo da 2ª Feira, Rua Haddock Lobo, Rua Campos Sales e Praca Afonso Pena;1000
Bloco Brasil;Leme;03/02/2018;12:00;Praça Almirante Julio de Noronha;Praça Almirante Julio de Noronha - Parado;10000
Fiquei Firme;Saúde;10/02/2018;18:00;Praça Américo Brum;Praça Américo Brum, Ladeira do Barroso, Ladeira do Livramento, Rua Sacadura Cabral e Largo São Francisco da Prainha;500
Bloco do Limão;Jardim América;13/02/2018;18:00;Praça Rivadavia C Maia;Praça Andrade Neves, Rua Monsenhor Castelo Branco, Rua Ministro Artur Costa, Rua George Bizet, Rua Franz Liszt, Rua Debussy, Rua Ministro Artur Costa, Rua Viana do Casteloo e Praça Andrade Neves;800
Batuke Imperial;São Cristóvão;03/02/2018;16:00;Praça Carmela Dutra;Praça Carmela Dutra, Rua Gal Almeiro de Moura, Rua Teixeira Junior, Rua São Januário, Rua Gal Argolo, Rua Gal José Cristino, Largo do Viana;800
Fanfarani;Botafogo;11/02/2018;15:00;Praça Chaim Weizman;Praça Chaim Weizman - Parado;850
Fanfinha;Botafogo;11/02/2018;10:00;Praça Chaim Weizman;Praça Chaim Weizman - Parado;600
Papudinho do Rio Comprido;Rio Comprido;18/02/2018;14:00;Praça Condessa Paulo de Frontin;Praça Condessa Paulo de Frontin, Rua Estrela, Rua Itapiru, Rua Caetano Martins, Rua Campos da Paz, Rua Aristides Lobo e Praça Condessa Paulo de Frontin;100
Pela Saco;Botafogo;17/02/2018;18:00;Praça Corumbá;Praça Corumbá, Rua São Clemente, Rua Real Grandeza, Rua Voluntários da Pátria, Rua da Matriz e Praça Corumbá;5000
Cordão do Prata Preta;Gamboa;10/02/2018;18:00;Praça Coronel Assumpção (Praça da Harmonia);Praça da Harmonia, Sacadura Cabral e Largo São Francisco da Prainha;800
Banda do Lidinho;Copacabana;11/02/2018;15:00;Praça do Lido;Praça do Lido - Parado;1000
Bambas do Catete;Catete;11/02/2018;15:00;Praça do Poeta;Praça do Poeta - Parado;1000
Bloco do Pente;Ilha do Governador;11/02/2018;16:00;Praça dos Bancários;Praça dos Bancários, Av. das Enxadas, Praia dos Bancários;1500
Quero Exibir Meu Longa;Tijuca;13/02/2018;11:30;Praça Gabriel Soares;Praça Gabriel Soares, Rua José Higino, Rua Conde de Bonfim, Rua Henry Ford, Rua Desembargador Isidro, Praça Gabriel Soares;480
Banda de Ipanema - Ensaio;Ipanema;20/01/2018;17:30;Praca General Osório;Praça General Osório - Parado;5000
Banda de Ipanema - HOMENAGEM;Ipanema;17/02/2018;17:30;Praca General Osório;Praça General Osório - Parado;5000
Banda de Ipanema Infantil;Ipanema;12/02/2018;16:00;Praca General Osório;Praça General Osório - Parado;10000
Block`n Roll;Ilha do Governador;13/02/2018;18:00;Praça Iaiá Garcia;Praça Iaiá Garcia - Parado;800
Unidos da Ribeira;Ilha do Governador;04/02/2018;15:00;Praça Iaiá Garcia;Praça Iaiá Garcia, Rua Fernandes da Fonseca,  Rua Paramopama e Praça Iaiá Garcia;2000
Polvo da Ilha;Ilha do Governador;12/02/2018;11:00;Praça Iaiá Garcia;Praça Iaiá Garcia, Rua Maldonado, Estrada do Rio Jequiá, Rua Serrão, Rua Peixoto de Carvalho, Praia do Zumbi, Rua Paramopama e Praça Iaiá Garcia;500
Bloco da Familha;Ilha do Governador;03/02/2018;17:00;Praia da Bica;Praça Jerusalém seguindo até o Rei do Bacalhau;2500
Quem Vai Vai, Quem Não Vai Não Cagueta!;Ilha do Governador;04/02/2018;18:00;Praça Jerusalém;Praça Jerusalem, Praia da Bica até Quiosque do Mexicano;1000
Quem Vai Vai, Quem Não Vai Não Cagueta!;Ilha do Governador;18/02/2018;18:00;Praça Jerusalém;Praça Jerusalem, Praia da Bica até Quiosque do Mexicano;1000
Cachorro Cansado;Flamengo;11/02/2018;18:00;Praça José de Alencar;Praça José de Alencar, Rua Marquês de Abrantes, Rua Marquês de Paraná, Rua Senador Vergueiro, Rua Barão do Flamengo e Praça José de Alencar;10000
Cachorro Cansado;Flamengo;13/02/2018;18:00;Praça José de Alencar;Praça José de Alencar, Rua Marquês de Abrantes, Rua Marquês de Paraná, Rua Senador Vergueiro, Rua Barão do Flamengo e Praça José de Alencar;10000
Rio de Janeiro;Bangu;09/02/2018;17:00;Praça Lucio Leite da Costa;Praça Lucio Leite da Costa, Rua Walter Cardoso, Rua Oliveira Ribeiro, Rua Silva Cardoso, Rua Santa Cecília e Praça da Fé;1800
Banda da Conceição;Saúde;11/02/2018;18:00;Praça Major Valo;Praça major Valo, Ladeira João Homem, Rua Sacadura Cabral, Rua São Francisco da Prainha, Pedra do Sal, Jogo da Bola, Preça Major Valo;500
Amigos da Onça;Ilha do Governador;13/02/2018;17:00;Praça Manoel Bandeira;Praça Manoel Bandeira, Avenida Paranapuan e Marques de Muritiba, até o nº 685;900
Boi de Anchieta;Anchieta;11/02/2018;18:00;Praça Nossa Senho de Nazaré;Praça Nazaré, Rua Motorista Luiz de Abreu, Avenida Nazaré, Rua Motoriasta Luiz de Abreu, Praça Nazaré;2000
Boi de Anchieta;Anchieta;12/02/2018;18:00;Praça Nossa Senho de Nazaré;Praça Nazaré, Rua Motorista Luiz de Abreu, Avenida Nazaré, Rua Motoriasta Luiz de Abreu, Praça Nazaré;2000
Boi de Anchieta;Anchieta;13/02/2018;18:00;Praça Nossa Senho de Nazaré;Praça Nazaré, Rua Motorista Luiz de Abreu, Avenida Nazaré, Rua Motoriasta Luiz de Abreu, Praça Nazaré;2000
Banda do Bairro de Fátima;Bairro de Fátima;11/02/2018;11:00;Praça Presidente Aguirre Cerda;Praça Presidente Aguirre Cerda, Av. Nossa Senhora de Fatima, Rua Tadeu Kosciusko, Rua do Resende, Rua Ubaldino do Amaral, Washington, Rua Tadeu Kosciusko, Av. Nossa Senhora de Fátima.;900
É Pequeno mas não amolece;Recreio dos Bandeirantes;17/02/2018;16:00;Praça Professor Henrique Niremberg;Praça Professor Henrique Niremberg, Rua Professora Isolina Sartore, Rua Joaquim da Silveira, José Afonso Neto e Praça Professor Henrique Niremberg;500
Estica do Flamengo;Flamengo;12/02/2018;18:00;Praça Sandro Moreira;Praça Sandro Moreira, Rua Marquês de Abrantes, Rua Marquês do Paraná, Rua Senador Vergueiro, Retrona na Praça José de Alencar com a Rua Marquês de Abrantes e finaliza na Praça Sandro Moreira;1700
A Rocha da Gávea;Gávea;13/02/2018;09:00;Praça Santos Dumont;Praça Santos Dumont, Rua Marquês de São Vicente, Rua Vice-Governador Rubens Berardo e Terminal da PUC;900
Vermelho e Branco da Colônia Z-10;Ilha do Governador;11/02/2018;10:00;Praça São Pedro;Praça São Pedro, Praia do Jequiá, Rua Maldonado, Praça Iaiá Garcia, Rua Fernandes da Fonseca Rua Paramopama, Praia do Zumbi, Rua Pojuca, e Dispersão na Rua Rio Jequiá.;5000
Bagunça Meu Coreto;Laranjeiras;13/02/2018;11:00;Praça São Salvador;Praça São Salvador, Rua São Salvador, Rua Ipiranga, Rua Paissandu, Rua Senador Correa e Praca São Salvador;900
Toma Uma;Ilha de Paquetá;11/02/2018;19:00;Praia da Moreninha;Praia da Moreninha, Rua Doutor Lacerda, Praia José Bonifácio, Praça Furquim Werneck e Praça Pintor Pedro Bruno;400
Bloco dos Primos;Ilha de Paquetá;13/02/2018;17:30;Praça Ex Combatentes;Praia da Moreninha, Rua José Bonifácio, Rua Furkin Werneck, Praça Pintor Pedro Bueno.;500
Na Hora Que Se Vê;Ilha do Governador;10/02/2018;17:00;Praia da Rosa, em frente ao Governador Iate Clube;Praia da Rosa, Avenida do Magistério, Rua Aristarco Ramos, Estrada do Dendê e Praia da Rosa, voltando ao local de concentração;400
Se não quiser me dar, me empresta;Ipanema;04/02/2018;14:00;Praia de Ipanema Posto 8;Praia de Ipanema, do Posto 8 até o Quiosque da Rua Vinicius de Moraes;3000
Boêmios de Sepetiba;Sepetiba;12/02/2018;20:00;Praia de Sepetiba (Bar do Zezinho);Praia de Sepetiba, Estrada São Tarcísio, Rua Paranabi, Rua Aristides Gouveia e Rua José Higaskino;500
Mocidade Dependente de Deus;Aterro do Flamengo;13/02/2018;15:00;Praia do Flamengo  72A;PRAIA DO FLAMENGO, RUA PAISSANDÚ, RUA SENADOR VERGUEIRO, RUA DO CATETE, RUA SILVEIRA MARTINS, RETORNA A ORIGEM;800
Bloco do Camelo;Ilha de Paquetá;10/02/2018;19:00;Praia José Bonifacio;Praia José Bonifacio e Furkim Werneck;400
Turma do Copo;Ilha de Paquetá;12/02/2018;19:00;Praia José Bonifacio;Praia José Bonifacio e Rua Furkim Werneck;400
Bloco da Colônia Z-3;Ilha de Paquetá;12/02/2018;19:00;Praia José Bonifácio;Praia José Bonifácio, Rua Furquim Werneck e Praça Pintor Pedro Bruno;2000
Fecha Bar;Ilha de Paquetá;13/02/2018;19:00;Praia José Bonifácio;Praia José Bonifácio, Rua Furquim Werneck, Rua Príncipe Regente, volta para José Bonifácio;500
Bloco do Esporte Clube Jardim Guanabara;Ilha do Governador;03/02/2018;10:00;Praça Jerusalém;Prç. Jerusalém em frente ao E.C. Jardim Guanabara, Praia da bica até o Rei do bacalhau, entra na rua babaçu, retornando pela rua Mangalo, rua Henrique  Lacombe em direçao a praia da Bica, seguindo até a praça jerusalém.;800
Terreirada Cearense;São Cristóvão;10/02/2018;14:00;Quinta da Boa Vista;Quinta da Boa Vista - Parado;2500
Banda do Tijuca Tênis Clube;Tijuca;03/02/2018;19:00;Tijuca Tênis Clube;R. conde do bonfim , R. Pareto, R. santo afonso, R. general Roca, R. conde do bonfim .;1000
Folia do Galo;Copacabana;11/02/2018;16:00;Rua Julio de Castilho  esquina com Rua Raul Pompéia;R. julio de castilho, raul pompeia, Rua francisco otaviano, av. atlantica esquina c/ julio de castilho;4000
G.R.B.C. Meu Peru é Seu;Piedade;13/02/2018;16:00;R. Padre Manuel da Nobrega 79.;R. Padre Manoel da Nobrega, Av. D. Helder Camara , retorno na R. Bernardino de Campos, Av. D. H. Camara, R. Souza Cerqueira, R. Gonçalo Coelho, R. Antonio Vargas e R. Padre Manoel da Nobrega.;300
bloco carnavalesco pombo correio;Vila isabel;10/02/2018;18:00;rua visconde de abaete, N. 129;R. visconde de abaete, R. teodoro da silva, R. gonzaga bastos, Av. boulevard 28 de setembro, R. rocha fragoso.;1500
Cachorrão de Bangu;Bangu;10/02/2018;19:00;Rua 12 de Fevereiro / Santa Cecília;Rua 12 de Fevereiro, Rua Santa Cecília, Rangel Pestana;200
Bangay Folia;Bangu;18/02/2018;20:00;Rua 12 de Fevereiro / Santa Cecília;Rua 12 de Fevereiro, Rua Santa Cecília, Rua Bangu;500
Chifrorosso;Rocinha;13/02/2018;20:00;Rua 2;Rua 2 até a Estrada da Gavea 436 e retornando até origem;500
Coração das Crianças;Rocinha;10/02/2018;20:00;Rua Nova (antiga Rua 4), esquina com Estrada da Gávea;Rua 4 até Cidade Nova;600
Coração das Crianças;Rocinha;11/02/2018;20:00;Rua Nova (antiga Rua 4), esquina com Estrada da Gávea;Rua 4 até Cidade Nova;600
Coração das Crianças;Rocinha;12/02/2018;20:00;Rua Nova (antiga Rua 4), esquina com Estrada da Gávea;Rua 4 até Cidade Nova;600
Banguçando o Coreto;Bangu;13/02/2018;20:00;Rua Abaeté, esquina com Rua Francisco Real;Rua Abaeté, Rua Santa Cecília, seguindo até Rua Fonseca.;1000
Bloco do galho;Guaratiba;13/02/2018;17:30;Rua Abílio Barreto (início);Rua Abílio Barreto do início ao final da rua.;600
Mau Mau de Bangu;Bangu;11/02/2018;19:00;Rua Acanto, esquina com Rua Ajuará;Rua Acanto, Rua Ajuará, Rua Minuanos, Rua Imaruí, Rua da Fábrica, Rua dos Açudes, Rua Oliveira Ribeiro, Rua Bangu, Rua Santa Cecília e Praça da Fé;500
Bloco dos Serragens;Ilha de Paquetá;10/02/2018;15:00;Rua Adelaide Alambari 85;Rua Adelaide Alambari, Rua Alambari Luz, Praia da Moreninha, Rua Principe Regente, Praça Bom Jesus.;500
Chave de Ouro;Engenho de Dentro;14/02/2018;16:00;Rua Adolfo Bergamini (Chave de Ouro);Rua Adolfo Bergamini, Rua Ana Leonidia , Rua Dr. Bulhões, Rua Borja Reis e Rua Adolfo Bergamini, voltando ao Chave de Ouro;800
Bigode Esticado;Méier;04/02/2018;17:00;Rua Adriano 300;Rua Adriano 300, Rua Magalhães Couto, Rua Intendente Cunha Menezes e Rua Adriano.;1000
Cordão Alegria da Tijuca;Tijuca;10/02/2018;18:00;Rua Afonso Pena, entre Haddock Lobo e Doutor Satamini;Rua Afonso Pena, Rua Haddock Lobo, Rua Campos Sales, Doutor Satamini, Largo da Segunda-feira, Rua Haddock Lobo e Rua Afonso Pena;15000
Banda Haddock;Tijuca;03/02/2018;18:00;Rua Afonso Pena, nº 10;Rua Afonso Pena, Rua Haddock Lobo, Rua Campos Sales, Doutor Satamini, São Francisco Xavier, Largo da Segunda-feira, Rua Haddock Lobo e Rua Afonso Pena;2200
Vem Comigo;Vila Cosmos;10/02/2018;17:30;Rua Itacambira c/Av. Meriti;Rua Alecrim, Rua Itacambira com Rua Imbiaça.;1200
Vem Comigo;Vila Cosmos;11/02/2018;17:30;Rua Itacambira c/Av. Meriti;Rua Alecrim, Rua Itacambira com Rua Imbiaça.;1200
Vem Comigo;Vila Cosmos;12/02/2018;17:30;Rua Itacambira c/Av. Meriti;Rua Alecrim, Rua Itacambira com Rua Imbiaça.;1200
Vem Comigo;Vila Cosmos;13/02/2018;17:30;Rua Itacambira c/Av. Meriti;Rua Alecrim, Rua Itacambira com Rua Imbiaça.;1200
Volta, Alice;Laranjeiras;28/01/2018;09:00;Rua Alice, nº 1;Rua Alice, do nº 1 ao nº 550 - esquina com Mario Portela;5000
Xupa Mas Não Baba;Laranjeiras;03/02/2018;12:00;Rua Alice, nº 1;Rua Alice, do nº 1 ao nº 550 - esquina com Mario Portela;800
Céu na Terra;Santa Teresa;10/02/2018;08:00;Largo dos Guimarães;Rua Alm. Alexandrino, Largo do Curvelo;7000
Sepulta Carnaval;Engenho de Dentro;17/02/2018;17:00;Rua Ana Leonídia, esquina com Dr. Bulhões;Rua Ana Leonídia, Rua Dr. Bulhões, Rua Borja Reis, Rua Adolfo Bergamini, Rua Pernambuco, Rua Dr. Bulhões e Rua Ana Leonídia;1000
Fogo na Cueca;Copacabana;10/02/2018;14:00;Rua Anita Garibaldi;Rua Anita Garibaldi, Rua Maestro Francisco Braga, passa em frente ao Bar Pontinho, Rua Décio Vilares, Pça Vereador Rocha Leão, Rua Henrique Oswald, termina Rua Santa Clara, 431;1100
Incha Rola;Anil;04/02/2018;16:00;Rua Araticum, 703;Rua Araticum, Estrada de Jacarepaguá e Praça Jornalista Geysa Boscoli;1500
Bloco dos Gambás;Rio Comprido;28/01/2018;16:00;Rua Aristides Lobo 217;Rua Aristides Lobo até a esquina da Rua Maia de Lacerda, Retorno Aristides Lobo 217;1000
Eu Choro Curto Mas Rio Comprido;Rio Comprido;04/02/2018;17:00;Rua Aristides Lobo, 250;Rua Aristides Lobo seguindo pela mesma até a Rua Maia de Lacerda, fazendo meia volta e retornando até o ponto de origem.;1000
Bloco do Barbas;Botafogo;10/02/2018;15:30;Rua Assis Bueno, esquina com Arnaldo Quintela;Rua Arnaldo Quintela, Rua da Passagem e Rua General Góes Monteiro;5000
Senta que Eu empurro;Catete;09/02/2018;20:00;Rua Dois de Dezembro, esquina com Rua do Catete;Rua Artur Bernardes em frente ao nº26, Rua Bento Lisboa, Rua Dois de Dezembro e finalizando na esquina da Rua do Catete em frente ao restaurante Paraíso do Chopp;2500
Deixa a Língua no Varal;Tijuca;27/01/2018;18:00;Rua Barão de Mesquita, 136;Rua Barão de Mesquita, Rua Deputado Soares Filho, Praça Hilda, Rua Pareto, Rua Almirante Cochrane, Rua Santo Afonso, Rua Pinto de Figueiredo, Av. Maracanã e Rua Barão de Mesquita 136;500
Bloco das Cacheadas;Tijuca;04/02/2018;11:00;Rua Barão de Mesquita, 320;Rua Barão de Mesquita, Rua General Roca, Rua Desembargador Izidro, e Praça Saens Peña;3000
Inova que eu Gosto;Flamengo;01/02/2018;18:00;Rua Barão do Flamengo, esquina com Praia do Flamengo;Rua Barão do Flamengo, da esquina com Praia do Flamengo até a Rua Senador Vergueiro;2000
Bloco do Boi 'Só Falta Você!';Pedra de Guaratiba;11/02/2018;18:50;Rua Barros de Alarcão - Praça São Pedro;Rua Barros de Alarcão até o final da rua;200
Bloco do Boi 'Só Falta Você!';Pedra de Guaratiba;12/02/2018;18:50;Rua Barros de Alarcão - Praça São Pedro;Rua Barros de Alarcão até o final da rua;200
Bloco do Boi 'Só Falta Você!';Pedra de Guaratiba;13/02/2018;18:50;Rua Barros de Alarcão - Praça São Pedro;Rua Barros de Alarcão até o final da rua;200
Bloco da Coroinha;Pedra de Guaratiba;11/02/2018;18:00;Rua Barros de Alarcão - Praça São Pedro;Rua Barros de Alarcão n°216 ao n°579;200
Bloco da Coroinha;Pedra de Guaratiba;13/02/2018;18:00;Rua Barros de Alarcão - Praça São Pedro;Rua Barros de Alarcão n°216 ao n°579;200
Bloco da Ressaca;Pedra de Guaratiba;17/02/2018;20:00;Rua Barros de Alarcão - Praça São Pedro;Rua Barros de Alarcão N283 até 464;300
