Bloco;Bairro;Data;Desfile;Local da Concentraçao;Percurso;Público Estimado
Raízes da Vila da Penha;Vila da Penha;12/02/2018;15:00;Rua São João Gualberto;Rua São João Gualberto, Rua General Silveira Sobrinho, Rua Oliveira Belo,  Rua Alice Tibiriça e Rua São João Gualberto;900
Raízes da Vila da Penha;Vila da Penha;13/02/2018;15:00;Rua São João Gualberto;Rua São João Gualberto, Rua General Silveira Sobrinho, Rua Oliveira Belo,  Rua Alice Tibiriça e Rua São João Gualberto;900
Molha o Pé das Oito;Centro;02/02/2018;20:00;Buraco do Lume;Rua São José, Rua Rodrigo Solva, Rua da Assembléia, Rua do Carmo e Rua São José;500
Semente do Amanhã;São Cristóvão;10/02/2018;16:00;Rua São Luiz Gonzaga 966;Rua São Luiz Gonzaga 966, Largo da Cancela e Dispersão na Av. Rotary Internacional na Entrada da Quinta da Boa Vista;500
Chora 10;Tijuca;10/02/2018;19:00;Rua São Miguel, 430;Rua São Miguel, Rua Santa Carolina, Avenida Maracanã, Rua São Rafael e Rua São Miguel;1000
Boca Aberta;Bonsucesso;03/02/2018;18:00;Praça da Nova Holanda;Rua Sargento Silva nunes, Rua Principal, Rua São Jorge;400
Cata Latas do Grajaú;Grajaú;13/02/2018;21:00;Praça Nobel;Rua Saviana, Rua Rosa e Silva, Rua Campinas, Rua Uberaba, Rua Botucatu, Rua Barão de Mesquita e Largo do Verdun;2500
Butano na Bureta;Maracanã;03/02/2018;13:00;Rua Senador Furtado, esquina com Rua Pará;Rua Senador Furtado, da Rua Pará até a Avenida Radial Oeste, voltando pela Senador Furtado até a concentração;1000
Bangay Folia;Padre Miguel;16/02/2018;20:00;Rua Sidney com Rua Figueiredo Camargo;Rua Sidney com Figueiredo Camargo, Rua Figueiredo Camargo com Ponto Chic, Rua Figueiredo Camargo com Rua D;500
Banda da Amizade;Lapa;04/02/2018;17:00;Rua Tadeu Kosciusco;Rua Tadeu Kosciusko, Carlos Sampaio, Washington Luiz, Conselheiro Josino, Henrique Valadares, Cruz Vermelha, Carlos Sampaio  e Rua Tadeu Kosciusko;1000
Banda da Amizade;Lapa;11/02/2018;17:00;Rua Tadeu Kosciusco;Rua Tadeu Kosciusko, Carlos Sampaio, Washington Luiz, Conselheiro Josino, Henrique Valadares, Cruz Vermelha, Carlos Sampaio  e Rua Tadeu Kosciusko;1000
Banda da Amizade;Lapa;13/02/2018;17:00;Rua Tadeu Kosciusco;Rua Tadeu Kosciusko, Rua do Rezende, Rua Ubaldino de Amaral, Rua Washington Luiz, Rua Conselheiro Josino, Av. Henrique Valadares, Praça da Cruz Vermelha, Rua Carlos Sampaio e Rua Tadeu Kosciusko;1000
Bafo do Peru;Padre Miguel;11/02/2018;18:00;Rua Tapiranga (Largo);Rua Tapiranga, Rua Icote, Rua Ceriba, Rua Pedro Melo, Rua Maria Rosa, Largo da Tapiranga;800
Bafo do Peru;Padre Miguel;13/02/2018;18:00;Rua Tapiranga (Largo);Rua Tapiranga, Rua Icote, Rua Ceriba, Rua Pedro Melo, Rua Maria Rosa, Largo da Tapiranga;800
Banana Com Queijo;Realengo;13/02/2018;16:00;Rua Tecobé;Rua Tecobé, Rua ibitú, Rua João Luso, Rua Ocabí, Rua Silva Neto, Rua Iguarim, Rua Acú, Rua Mirim, Rua Tecobé 275 Término;1000
Simpatia é Quase Amor;Ipanema;03/02/2018;16:00;Teixeira de Melo – Praia;Rua Teixeira de Melo e Avenida Vieira Souto até a Henrique Dumont;300000
Simpatia é Quase Amor;Ipanema;11/02/2018;16:00;Teixeira de Melo – Praia;Rua Teixeira de Melo e Avenida Vieira Souto até a Henrique Dumont;300000
Seu Kuka é Eu do Grajaú;Grajaú;10/02/2018;19:00;Largo Maria Martha Ward;Rua Teodoro da Silva, Rua José Vicente, Rua Meira Vasconcelos, Rua Faria de Brito, Rua Barão de Mesquita e Largo Irma Maria Marta Ward;1200
Fuzuê da Ilha;Ilha do Governador;04/02/2018;15:00;Praça do Grego;Rua Uça, da Praça do Grego até a Rua Engenheiro Rozauro Zambrano, voltando ao local de concentração;500
Acadêmicos do Engenho de Dentro;Engenho de Dentro;13/02/2018;18:00;Rua Venâncio Ribeiro, 585;Rua Venâncio Ribeiro, Rua Maria Paula, Rua Catulo CearenSe e Rua Adolfo Bergamini;1000
Calma, Calma Sua Piranha;Botafogo;28/01/2018;10:00;Rua Visconde de Caravelas, esquina com Rua Real Grandeza;Rua Visconde de Caravelas, da Rua Real Grandeza até a Rua Capitão Salomão;500
Só Tamborins;Lapa;16/02/2018;20:00;Travessa do Mosqueira, esquina com Rua Visconde de Maranguape;Rua Visconde de Maranguape, Rua da Lapa, Rua da Glória, seguindo até o Largo da Glória;2500
Pinta Mas Não Borra;Botafogo;10/02/2018;17:30;Rua Voluntários da Pátria, nº 34;Rua Voluntários da Pátria, nº 34, Rua São Clemente, nº 1, Rua Nelson Mandela e Rua Voluntários da Pátria até o nº 34;7000
Fala Meu Louro;Santo Cristo;28/01/2018;16:00;Rua Waldemar Dutra, 19;Rua Waldemar Dutra, Praça do Santo Cristo, Rua da América, Rua Barão da Gamboa, Rua Cardoso Marinho, Rua Santo Cristo e Rua Waldemar Dutra.;800
Areia;Leblon;11/02/2018;10:00;Posto 12;Sai do posto 12 até o posto 11;10000
Sobrinhos do Tio Bio;Leblon;13/02/2018;11:00;Posto 12;Sai do posto 12 até o posto 11;3000
Bloco do Balde;Sulacap;03/02/2018;18:00;Praça H (Rua Antonio de Mendonça);Saída Rua Antonio de Mendonça, Rua Teofilo Guimarães, Rua Gonçalo Rollemberg, Rua Barbara Heliodor, Rua Teodoro Sampaio, Rua Oliveira Martins, Rua Maria Grham, Para na Praça Nino Roland, Retorno, Maria Grham, Rua Oliveira Martins, Rua Teodoro Sampaio, Rua Guilherme Francisco Cruz, Rua Olimpio de Castro e término na Rua Antonio de Mendonça.;500
Foliões da ABRACES;Copacabana;04/02/2018;11:00;Constante Ramos com Domingos Ferreira;Saindo da esquina da Contante Ramos com Domingos Ferreira, andar até orla e seguir Av. Atlântica até o posto 2;1000
Banda Inimigos da Bebida;Ilha do Governador;12/02/2018;11:00;Praça Comandante Megé;Saindo da Praça Comandante Magé, Rua Altinópolis, Beira da Praia da Bandeira, seguindo em direção ao Detran, dobrando no Fórum da Ilha do Governador e encerrando na Praça Comandante Megé;900
Baile do Negrão;Madureira;13/02/2018;17:30;Viaduto Negrão de Lima;Saindo da Rua Carvalho de Souza 241 indo até o palanque Rua dos Peixinhos Rua Edgard Romero 81;5000
