ID;JOGADOR;SELECAO;ABREVIATURA SELECAO;COPA DO PENTEADO;COPAS QUE JOGOU;POSIÇÃO;IMAGEM;CARACTERISTICA
27;Preud´Homme;Bélgica;BEL;Cabelo em  1990;1990 e 1994;Goleiro;jogadores/preudhomme_belgica;cabelo comprido
28;Sócrates;Brasil;BRA;Cabelo em  1982;1982 e 1986;Meia;jogadores/socrates_brasil;cabelo comprido, bigode, barba
29;Zico;Brasil;BRA;Cabelo em  1982;1978, 1982 e 1986;Meia;jogadores/zico_brasil;cabelo comprido
30;Cláudio Taffarel;Brasil;BRA;Cabelo em  1994;1990, 1994 e 1998;Goleiro;jogadores/taffarel_brasil;cabelo curto
31;Hristo Stoitchkov;Bulgária;BUL;Cabelo em  1994;1994 e 1998;Meia;jogadores/stoitchkov_bulgaria;cabelo curto
32;Roger Milla;Camarões;CMR;Cabelo em  1990;1982, 1990 e 1994;Atacante;jogadores/milla_camaroes;cabelo curto, bigode
33;Marcelo Salas;Chile;CHI;Cabelo em  1998;1998;Atacante;jogadores/salas_chile;cabelo comprido
34;Iván Zamorano;Chile;CHI;Cabelo em  1998;1998;Atacante;jogadores/zamorano_chile;cabelo comprido
35;Davor Suker;Croácia;CRO;Cabelo em  1998;1990, 1998 e 2002;Atacante;jogadores/suker_croacia;cabelo curto
36;Peter Schmeichel;Dinamarca;DIN;Cabelo em  1998;1998;Goleiro;jogadores/schmeichel_dinamarca;cabelo curto
37;Michael Laudrup;Dinamarca;DIN;Cabelo em  1998;1986 e 1998;Meia;jogadores/michael_dinamarca;cabelo curto
38;Brian Laudrup;Dinamarca;DIN;Cabelo em  1998;1998;Atacante;jogadores/brian_dinamarca;cabelo curto
38;Emilio Butragueño;Espanha;ESP;Cabelo em  1986;1986 e 1990;Atacante;jogadores/butragueno_espanha;cabelo curto
40;Carles Puyol;Espanha;ESP;Cabelo em  2010;2010;Defensor;jogadores/puyol_espanha;cabelo comprido
41;Sergio Ramos;Espanha;ESP;Cabelo em  2010;2006 e 2010;Defensor;jogadores/ramos_espanha;cabelo comprido
42;Michel Platini;França;FRA;Cabelo em  1986;1978, 1982 e 1986;Meia;jogadores/platini_franca;cabelo comprido
43;Franklin Rijkaard;Holanda;HOL;Cabelo em  1994;1990 e 1994;Meia;jogadores/Rijkaard_holanda;cabelo curto
44;Dennis Bergkamp;Holanda;HOL;Cabelo em  1998;1994 e 1998;Atacante;jogadores/bergkamp_holanda;cabelo curto
45;Pelé;Brasil;BRA;Cabelo em  1970;1958, 1962, 1966 e 1970;Meia;jogadores/pele_brasil;cabelo curto
46;David Beckham;Inglaterra;ING;Cabelo em  2002;1998 e 2002;Meia;jogadores/beckham_inglaterra;cabelo curto
47;Paolo Maldini;Itália;ITA;Cabelo em  1998;1990, 1994, 1998 e 2002;Defensor;jogadores/maldini_italia;cabelo comprido
48;Ferenc Puskas;Hungria;HUN;Cabelo em  1954;1954 e 1962;Atacante;jogadores/puskas_hungria;cabelo curto
49;Hugo Sánchez;México;MEX;Cabelo em  1986;1978, 1986 e 1994;Atacante;jogadores/sanchez_mexico;cabelo comprido
50;Andrés Iniesta;Espanha;ESP;Cabelo em  2010;2006, 2010 e 2014;Meia;jogadores/iniesta_espanha;cabelo curto, careca
